iter	Passed	Remaining
546	1141	945
547	1143	942
548	1144	940
549	1146	937
550	1147	934
551	1148	932
552	1154	933
553	1156	930
554	1157	928
555	1159	925
556	1162	924
557	1166	923
558	1169	922
559	1172	921
560	1173	918
561	1175	916
562	1180	916
563	1182	913
564	1184	911
565	1185	909
566	1188	907
567	1190	905
568	1192	903
569	1195	901
570	1196	899
571	1200	898
572	1203	896
573	1205	894
574	1207	892
575	1212	892
576	1218	893
577	1220	891
578	1223	889
579	1225	887
580	1226	884
581	1229	882
582	1230	880
583	1232	877
584	1233	875
585	1259	889
586	1264	890
587	1275	894
588	1277	891
589	1279	889
590	1281	886
591	1284	885
592	1285	882
593	1287	879
594	1289	878
595	1292	876
596	1294	873
597	1297	872
598	1300	870
599	1302	868
600	1304	866
601	1308	865
602	1310	862
603	1313	861
604	1315	859
605	1318	857
606	1320	854
607	1324	853
608	1327	852
609	1328	849
610	1338	852
611	1340	849
612	1351	853
613	1357	853
614	1379	863
615	1391	867
616	1393	865
617	1396	863
618	1406	865
619	1408	863
620	1410	860
621	1412	858
622	1414	855
623	1442	869
624	1457	874
625	1458	871
626	1469	874
627	1470	871
628	1472	868
629	1484	871
630	1494	874
631	1519	884
632	1555	902
633	1557	899
634	1567	900
635	1568	897
636	1570	894
637	1581	897
638	1583	894
639	1584	891
640	1599	895
641	1611	898
642	1615	897
643	1617	894
644	1630	897
645	1632	894
646	1633	891
647	1648	895
648	1668	902
649	1681	905
650	1683	902
651	1695	905
652	1698	902
653	1699	899
654	1707	899
655	1709	896
656	1712	894
657	1719	893
658	1722	891
659	1724	888
660	1725	885
661	1738	887
662	1751	890
663	1762	891
664	1764	889
665	1766	886
666	1768	882
667	1773	881
668	1776	879
669	1781	877
670	1786	876
671	1790	874
672	1795	872
673	1796	869
674	1799	866
675	1800	863
676	1802	859
677	1810	859
678	1820	860
679	1823	858
680	1825	855
681	1827	851
682	1828	848
683	1829	845
684	1831	842
685	1832	838
686	1834	835
687	1836	832
688	1838	829
689	1839	826
690	1841	823
691	1844	820
692	1846	817
693	1847	814
694	1849	811
695	1851	808
696	1853	805
697	1855	802
698	1857	799
699	1859	796
700	1866	795
701	1868	793
702	1870	790
703	1872	787
704	1874	784
705	1876	781
706	1878	778
707	1881	776
708	1883	773
709	1887	770
710	1888	767
711	1890	764
712	1893	762
713	1894	758
714	1896	755
715	1898	753
716	1903	751
717	1906	748
718	1909	746
719	1912	743
720	1915	741
721	1918	738
722	1920	735
723	1923	733
724	1925	730
725	1926	727
726	1928	724
727	1930	721
728	1931	718
729	1933	714
730	1934	711
731	1937	709
732	1941	707
733	1943	704
734	1946	701
735	1948	699
736	1950	695
737	1957	694
738	1959	692
739	1961	689
740	1962	685
741	1964	682
742	1972	682
743	1974	679
744	1976	676
745	1979	673
746	1980	670
747	1984	668
748	1987	665
749	1989	663
750	1991	660
751	1993	657
752	1994	654
753	1996	651
754	1998	648
755	2000	645
756	2001	642
757	2003	639
758	2005	636
759	2006	633
760	2011	631
761	2013	628
762	2014	625
763	2016	622
764	2018	619
765	2020	617
766	2023	614
767	2025	611
768	2026	608
769	2031	606
770	2032	603
771	2035	601
772	2040	599
773	2042	596
774	2047	594
775	2049	591
776	2052	589
777	2054	586
778	2057	583
779	2063	582
780	2065	579
781	2068	576
782	2070	573
783	2081	573
784	2085	571
785	2088	568
786	2090	565
787	2093	563
788	2094	560
789	2098	557
790	2100	554
791	2102	552
792	2105	549
793	2106	546
794	2109	543
795	2112	541
796	2119	539
797	2122	537
798	2129	535
799	2134	533
800	2139	531
801	2143	529
802	2146	526
803	2150	524
804	2153	521
805	2155	518
806	2159	516
807	2161	513
808	2164	510
809	2166	508
810	2168	505
811	2171	502
812	2173	500
813	2175	497
814	2176	494
815	2178	491
816	2180	488
817	2181	485
818	2183	482
819	2187	480
820	2189	477
821	2192	474
822	2195	472
823	2197	469
824	2203	467
825	2205	464
826	2210	462
827	2218	460
828	2220	458
829	2223	455
830	2232	453
831	2234	451
832	2237	448
833	2239	445
834	2242	443
835	2247	440
836	2248	437
837	2252	435
838	2256	432
839	2257	430
840	2262	427
841	2264	425
842	2269	422
843	2270	419
844	2276	417
845	2278	414
846	2280	411
847	2281	408
848	2283	406
849	2285	403
850	2287	400
851	2289	397
852	2291	394
853	2292	391
854	2294	389
855	2297	386
856	2298	383
857	2300	380
858	2301	377
859	2303	375
860	2308	372
861	2309	369
862	2311	366
863	2312	364
864	2314	361
865	2315	358
866	2316	355
867	2320	352
868	2321	349
869	2322	347
870	2324	344
871	2325	341
872	2327	338
873	2329	335
874	2331	333
875	2332	330
876	2334	327
877	2336	324
878	2337	321
879	2339	319
880	2341	316
881	2343	313
882	2344	310
883	2345	307
884	2347	305
885	2350	302
886	2352	299
887	2353	296
888	2355	294
889	2356	291
890	2357	288
891	2358	285
892	2360	282
893	2362	280
894	2364	277
895	2366	274
896	2367	271
897	2368	269
898	2369	266
899	2371	263
900	2372	260
901	2374	257
902	2380	255
903	2385	253
904	2387	250
905	2388	247
906	2390	245
907	2392	242
908	2394	239
909	2395	236
910	2399	234
911	2400	231
912	2401	228
913	2403	226
914	2405	223
915	2407	220
916	2413	218
917	2415	215
918	2416	213
919	2418	210
920	2419	207
921	2421	204
922	2425	202
923	2426	199
924	2427	196
925	2429	194
926	2430	191
927	2431	188
928	2433	185
929	2434	183
930	2435	180
931	2439	177
932	2440	175
933	2442	172
934	2442	169
935	2444	167
936	2446	164
937	2448	161
938	2449	159
939	2451	156
940	2453	153
941	2454	151
942	2457	148
943	2459	145
944	2460	143
945	2461	140
946	2463	137
947	2465	135
948	2467	132
949	2469	129
950	2470	127
951	2471	124
952	2473	121
953	2474	119
954	2476	116
955	2477	114
956	2479	111
957	2480	108
958	2483	106
959	2484	103
960	2486	100
961	2489	98
962	2490	95
963	2493	93
964	2494	90
965	2497	87
966	2498	85
967	2500	82
968	2501	80
969	2502	77
970	2504	74
971	2505	72
972	2506	69
973	2507	66
974	2509	64
975	2512	61
976	2515	59
977	2516	56
978	2518	54
979	2519	51
980	2520	48
981	2522	46
982	2523	43
983	2524	41
984	2526	38
985	2528	35
986	2529	33
987	2530	30
988	2531	28
989	2533	25
990	2534	23
991	2535	20
992	2537	17
993	2538	15
994	2539	12
995	2542	10
996	2544	7
997	2545	5
998	2547	2
999	2548	0
